Player Name,Position,Age,Team,GP,GS,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Total Minutes
Wendell Carter Jr.,C,23.0,ORL,57.0,54.0,29.6,0.525,0.356,0.738,8.7,2.3,0.5,0.6,1.9,2.8,15.2,17.3,0.621,20.5,2.6,2.0,4.6,0.13,0.9,0.1,1.0,1.3,14150000,1687.0
Daishen Nix,PG,20.0,HOU,57.0,7.0,16.0,0.342,0.286,0.667,1.7,2.3,0.5,0.1,1.5,1.0,4.0,5.3,0.447,15.4,-1.5,0.3,-1.2,-0.062,-5.0,-1.5,-6.5,-1.0,1563518,912.0
Cam Thomas,SG,21.0,BRK,57.0,4.0,16.6,0.441,0.383,0.868,1.7,1.4,0.4,0.1,1.1,1.0,10.6,14.7,0.567,27.8,0.3,0.7,1.0,0.049,-0.7,-2.0,-2.7,-0.2,2138160,946.0
Moritz Wagner,C,25.0,ORL,57.0,18.0,19.5,0.5,0.313,0.841,4.5,1.5,0.6,0.2,1.2,2.4,10.5,17.4,0.63,21.1,2.1,1.3,3.4,0.149,0.4,0.2,0.6,0.7,1878720,1112.0
Hamidou Diallo,SF,24.0,DET,56.0,0.0,17.8,0.573,0.238,0.588,3.5,1.0,0.9,0.3,1.3,2.2,9.3,15.7,0.593,21.8,0.4,0.9,1.3,0.063,-1.8,0.4,-1.4,0.1,5200000,997.0
Jabari Walker,PF,20.0,POR,56.0,0.0,11.1,0.419,0.286,0.756,2.3,0.6,0.2,0.2,0.5,1.2,3.9,9.6,0.496,17.3,-0.1,0.3,0.2,0.015,-3.9,-2.1,-6.1,-0.6,1017781,622.0
Jeff Green,PF,36.0,DEN,56.0,4.0,19.5,0.488,0.288,0.744,2.6,1.2,0.3,0.3,0.8,1.8,7.8,11.0,0.576,17.0,0.8,0.8,1.7,0.074,-2.4,-1.0,-3.4,-0.4,4500000,1092.0
Tyrese Haliburton,PG,22.0,IND,56.0,56.0,33.6,0.49,0.4,0.871,3.7,10.4,1.6,0.4,2.5,1.2,20.7,23.6,0.624,23.8,6.4,1.2,7.6,0.195,7.0,0.2,7.2,4.4,4215120,1882.0
Danuel House Jr.,SF,29.0,PHI,56.0,5.0,14.4,0.472,0.336,0.75,1.7,0.8,0.3,0.2,0.5,1.2,4.8,9.4,0.6,13.8,0.6,0.7,1.3,0.075,-2.5,-0.5,-3.0,-0.2,4105000,806.0
Brandon Clarke,PF,26.0,MEM,56.0,8.0,19.5,0.656,0.167,0.723,5.5,1.3,0.6,0.7,1.0,2.3,10.0,20.0,0.682,17.7,2.7,1.8,4.5,0.199,0.8,1.8,2.5,1.3,4343920,1092.0
Jeremy Sochan,PF,19.0,SAS,56.0,53.0,26.0,0.453,0.246,0.698,5.3,2.5,0.8,0.4,1.7,2.5,11.0,11.4,0.509,19.8,-0.5,0.7,0.2,0.005,-2.8,-1.2,-4.0,-0.7,5063520,1456.0
Paul George,SF,32.0,LAC,56.0,56.0,34.6,0.457,0.371,0.871,6.1,5.1,1.5,0.4,3.1,2.8,23.8,19.6,0.588,29.5,2.3,2.3,4.6,0.114,2.4,0.3,2.8,2.3,42492492,1938.0
Anthony Davis,C,29.0,LAL,56.0,54.0,34.0,0.563,0.257,0.784,12.5,2.6,1.1,2.0,2.2,2.6,25.9,27.8,0.627,28.4,5.5,3.4,9.0,0.226,4.6,1.7,6.3,4.0,37980720,1904.0
